ConductionBandEnergy(C1(n63953_programmed_des)) X,ConductionBandEnergy(C1(n63953_programmed_des)) Y,ConductionBandEnergy(C3(n63953_programmed_des)) X,ConductionBandEnergy(C3(n63953_programmed_des)) Y,ConductionBandEnergy(C4(n63953_programmed_des)) X,ConductionBandEnergy(C4(n63953_programmed_des)) Y
0.038249999,2.6173118,0.038249999,2.2854706,-,-
0.038472615,2.5954861,0.038294349,2.2831396,-,-
0.038624998,2.5797635,0.038624998,2.2679174,-,-
0.038736306,2.5728626,0.038647171,2.2674215,-,-
0.038812499,2.5679476,0.038812499,2.2643196,-,-
0.038868155,2.565506,0.038823586,2.2642469,-,-
0.03890625,2.5637706,0.03890625,2.2639274,-,-
0.038934078,2.562802,0.038911793,2.2639353,-,-
0.038953125,2.5621134,0.038953125,2.26409,-,-
0.038967039,2.5616921,0.038955897,2.264105,-,-
0.038976561,2.5613924,0.038976561,2.2642615,-,-
0.038990475,2.5610131,0.038979333,2.2642839,-,-
0.039000001,2.5607431,0.039000001,2.2644934,-,-
0.039000001,2.5607431,0.039000001,2.2644934,-,-
0.039009277,3.1539288,0.039001849,2.3827896,-,-
0.039015625,3.5599578,0.039015625,3.2648289,-,-
0.039024901,3.5595004,0.039017472,3.2648621,-,-
0.039031249,3.5591751,0.039031249,3.2651625,-,-
0.0390498,3.5582643,0.039034944,3.2652285,-,-
0.0390625,3.5576176,0.0390625,3.2658244,-,-
0.039099604,3.5558119,0.039069891,3.2659545,-,-
0.039124999,3.5545336,0.039124999,3.267127,-,-
0.039199207,3.550987,0.039139781,3.2673798,-,-
0.039250001,3.5484881,0.039250001,3.2696505,-,-
0.039398413,3.5416562,0.039279565,3.2701269,-,-
0.039500002,3.536875,0.039500002,3.2743925,-,-
0.039796822,3.5242371,0.039559133,3.275235,-,-
0.039999999,3.5154519,0.039999999,3.2827992,-,-
0.040296823,3.5040542,0.040059131,3.2835185,-,-
0.0405,3.4961522,0.0405,3.2900512,-,-
0.040796824,3.4858509,0.040559132,3.2906702,-,-
0.041000001,3.4787155,0.041000001,3.2963707,-,-
0.041296821,3.4693759,0.041059133,3.2969093,-,-
0.041499998,3.4629092,0.041499998,3.30194,-,-
0.041796822,3.45441,0.04155913,3.3024153,-,-
0.041999999,3.4485265,0.041999999,3.3069132,-,-
0.042296823,3.4407589,0.042059131,3.30734,-,-
0.0425,3.4353828,0.0425,3.3114234,-,-
0.042796824,3.4282493,0.042559132,3.3118148,-,-
0.043000001,3.4233129,0.043000001,3.3155884,-,-
0.043296821,3.4167258,0.043059133,3.3159561,-,-
0.043499999,3.412168,0.043499999,3.3195162,-,-
0.043796822,3.4060478,0.04355913,3.3198711,-,-
0.044,3.4018135,0.044,3.3233104,-,-
