AveNitride1 eTrappedCharge(n50525_des) X,AveNitride1 eTrappedCharge(n50525_des) Y,AveNitride1 eTrappedCharge(n50525_des_2) X,AveNitride1 eTrappedCharge(n50525_des_2) Y
148.05807,6.803999e+18,128,6.9218215e+18
149.35214,6.8034914e+18,130.0022,6.921192e+18
151.94028,6.8024938e+18,131.0033,6.9208797e+18
153.23435,6.8019993e+18,133.00551,6.9202646e+18
155.82248,6.801027e+18,137.00991,6.9190703e+18
160.99876,6.7991445e+18,141.01432,6.9179098e+18
163.5869,6.7982184e+18,149.02313,6.9157098e+18
168.76317,6.7964226e+18,151.02533,6.9151671e+18
179.11573,6.7930316e+18,155.02973,6.9141097e+18
189.46828,6.7898198e+18,163.03854,6.9120954e+18
192.05642,6.7890278e+18,163.53909,6.9119699e+18
193.35049,6.7886344e+18,164.03964,6.9118448e+18
195.93862,6.7878581e+18,164.54019,6.9117201e+18
198.52676,6.787092e+18,165.04074,6.9115957e+18
203.70304,6.7855981e+18,165.5413,6.9114718e+18
206.29118,6.7848605e+18,166.5424,6.9112254e+18
211.46745,6.7834208e+18,168.5446,6.9107384e+18
221.82,6.7806705e+18,172.549,6.9097868e+18
242.52511,6.7756062e+18,174.55121,6.9093164e+18
245.89383,6.7747935e+18,175.55231,6.9090826e+18
249.26255,6.7739917e+18,176.05286,6.908966e+18
252.63128,6.7732005e+18,177.05396,6.9087342e+18
256,6.7724196e+18,178.05506,6.9085036e+18
266.65284,6.7700458e+18,180.05726,6.9080477e+18
269.31605,6.7694581e+18,181.05836,6.9078209e+18
274.64247,6.7683054e+18,183.06057,6.9073724e+18
279.96888,6.7671743e+18,187.06497,6.9064943e+18
290.62172,6.7649928e+18,189.06717,6.9060598e+18
295.94814,6.7639216e+18,193.07158,6.9052085e+18
301.27456,6.7628692e+18,194.07268,6.9049968e+18
311.9274,6.760835e+18,196.07488,6.9045776e+18
317.25381,6.7598349e+18,200.07929,6.9037557e+18
319.91702,6.7593391e+18,208.0881,6.9021727e+18
325.24344,6.7583638e+18,216.09691,6.9006463e+18
327.90665,6.7578802e+18,218.09911,6.9002682e+18
333.23307,6.7569285e+18,222.10351,6.8995253e+18
338.55949,6.755992e+18,230.11232,6.8980895e+18
349.21233,6.7541763e+18,246.12994,6.8953949e+18
359.86516,6.7524151e+18,247.3637,6.8951884e+18
362.52837,6.7519782e+18,249.83121,6.8947795e+18
367.85479,6.7511173e+18,252.29873,6.8943746e+18
370.518,6.7506901e+18,254.14936,6.8940731e+18
375.84442,6.7498482e+18,256,6.8937738e+18
386.49726,6.7482124e+18,258.92611,6.8933059e+18
391.82368,6.7474062e+18,264.77834,6.8923907e+18
393.15528,6.7472054e+18,267.70445,6.8919382e+18
395.81849,6.7468066e+18,270.63056,6.8914905e+18
401.14491,6.7460201e+18,273.55667,6.8910477e+18
403.80812,6.7456297e+18,279.4089,6.8901807e+18
406.47133,6.745242e+18,285.26112,6.8893315e+18
409.13454,6.744857e+18,288.18723,6.8889113e+18
409.80034,6.7447609e+18,289.65029,6.8887023e+18
411.13194,6.7445694e+18,292.5764,6.8882885e+18
413.79515,6.7441891e+18,298.42862,6.8874774e+18
419.12157,6.7434387e+18,301.35473,6.8870759e+18
420.45318,6.7432518e+18,304.28085,6.8866783e+18
421.78478,6.7430655e+18,310.13307,6.8858986e+18
424.44799,6.7426954e+18,315.98529,6.8851337e+18
427.1112,6.7423278e+18,316.71682,6.8850383e+18
432.43762,6.7416024e+18,317.44835,6.8849432e+18
437.76404,6.7408866e+18,318.91141,6.8847538e+18
448.41687,6.7394917e+18,321.83752,6.8843786e+18
459.06971,6.738132e+18,324.76363,6.8840069e+18
464.39613,6.7374608e+18,330.61585,6.8832773e+18
475.04897,6.7361514e+18,342.3203,6.8818696e+18
477.71218,6.7358261e+18,348.17253,6.8811783e+18
483.03859,6.7351836e+18,359.87697,6.8798428e+18
493.69143,6.7339293e+18,362.80309,6.8795119e+18
494.83572,6.7337949e+18,363.53461,6.8794293e+18
497.12429,6.7335276e+18,364.99767,6.8792649e+18
501.70143,6.7329984e+18,367.92378,6.878939e+18
506.27857,6.7324747e+18,373.776,6.8782982e+18
507.70893,6.7323116e+18,375.23906,6.8781387e+18
508.42411,6.7322302e+18,378.16517,6.8778224e+18
509.85446,6.7320678e+18,381.09128,6.8775087e+18
512,6.7318255e+18,386.94351,6.8768919e+18
517.72143,6.7311873e+18,388.40656,6.8767383e+18
523.44286,6.7305571e+18,389.86962,6.8765854e+18
534.88571,6.7293273e+18,391.33268,6.8764331e+18
536.31607,6.7291741e+18,392.79573,6.8762814e+18
539.17678,6.7288695e+18,395.72184,6.8759806e+18
544.89821,6.7282676e+18,397.1849,6.8758308e+18
550.61964,6.727673e+18,400.11101,6.8755337e+18
556.34106,6.7270855e+18,403.03712,6.875239e+18
559.20178,6.7267935e+18,405.96324,6.8749467e+18
564.92321,6.7262164e+18,411.81546,6.8743714e+18
570.64463,6.725646e+18,417.66768,6.8738052e+18
572.07499,6.7255038e+18,419.13074,6.8736642e+18
574.9357,6.7252211e+18,420.5938,6.8735237e+18
580.65713,6.7246623e+18,423.51991,6.8732451e+18
592.09999,6.7235696e+18,429.37213,6.8726964e+18
597.82141,6.7230294e+18,435.22436,6.8721562e+18
603.54284,6.7224953e+18,446.9288,6.8711079e+18
614.9857,6.7214501e+18,452.78103,6.8705917e+18
626.42855,6.7204273e+18,455.70714,6.8703355e+18
629.28927,6.7201729e+18,458.63325,6.8700812e+18
632.14998,6.71992e+18,464.48547,6.8695801e+18
635.01069,6.7196684e+18,467.41159,6.8693314e+18
640.73212,6.7191705e+18,470.3377,6.8690846e+18
652.17498,6.7181952e+18,473.26381,6.8688395e+18
657.8964,6.7177126e+18,479.11603,6.8683566e+18
663.61783,6.7172348e+18,482.04215,6.8681168e+18
675.06069,6.7162984e+18,487.89437,6.8676442e+18
686.50354,6.7153802e+18,489.35743,6.8675264e+18
709.38925,6.713612e+18,492.28354,6.8672926e+18
712.24997,6.7133921e+18,495.20965,6.8670605e+18
717.97139,6.7129563e+18,501.06187,6.8666027e+18
723.69282,6.7125246e+18,506.53094,6.8661805e+18
729.41425,6.7120968e+18,509.26547,6.8659708e+18
740.8571,6.7112568e+18,512,6.8657624e+18
763.74281,6.7096342e+18,516.32367,6.8654362e+18
775.18567,6.7088368e+18,524.97102,6.864797e+18
798.07138,6.7072939e+18,529.2947,6.8644805e+18
809.51424,6.706535e+18,537.94204,6.8638599e+18
812.37495,6.706346e+18,555.23674,6.8626653e+18
818.09638,6.7059712e+18,557.39858,6.8625166e+18
829.53923,6.7052332e+18,559.56042,6.8623687e+18
852.42494,6.7038012e+18,561.72225,6.8622216e+18
875.31065,6.7024106e+18,566.04593,6.86193e+18
878.17137,6.7022374e+18,570.3696,6.8616411e+18
883.89279,6.7018935e+18,574.69328,6.861355e+18
889.61422,6.7015521e+18,583.34062,6.8607932e+18
892.47494,6.701382e+18,585.50246,6.8606534e+18
898.19636,6.7010442e+18,589.82613,6.8603763e+18
903.91779,6.7007088e+18,598.47348,6.8598322e+18
915.36065,6.700047e+18,602.79716,6.8595625e+18
918.22136,6.6998822e+18,607.12083,6.8592953e+18
919.65172,6.6997999e+18,611.44451,6.8590304e+18
922.51243,6.6996359e+18,620.09185,6.8585099e+18
928.23386,6.6993101e+18,637.38655,6.8575035e+18
939.67671,6.698667e+18,671.97594,6.8556142e+18
962.56242,6.697413e+18,680.62329,6.8551493e+18
985.44813,6.6961892e+18,689.27064,6.8546918e+18
1024,6.6942055e+18,691.43248,6.8545779e+18
1029.7214,6.6939128e+18,695.75615,6.8543518e+18
1031.1518,6.6938397e+18,700.07983,6.8541275e+18
1034.0125,6.693694e+18,702.24166,6.8540157e+18
1039.7339,6.6934042e+18,706.56534,6.853794e+18
1051.1768,6.6928309e+18,715.21268,6.8533572e+18
1074.0625,6.6917083e+18,723.86003,6.8529268e+18
1119.8339,6.6895494e+18,741.15473,6.8520906e+18
1211.3768,6.6855152e+18,775.74412,6.8505061e+18
1394.4624,6.6782698e+18,844.92291,6.8476226e+18
1440.2339,6.6765053e+18,853.57026,6.8472666e+18
1531.7767,6.6731373e+18,862.21761,6.8469147e+18
1714.8624,6.6669055e+18,866.54128,6.8467398e+18
1881.4312,6.6615751e+18,875.18863,6.8463941e+18
2048,6.6565311e+18,879.5123,6.8462223e+18
2064.4605,6.6560354e+18,888.15965,6.8458824e+18
2080.9211,6.6555424e+18,905.45435,6.8452176e+18
2113.8421,6.6545669e+18,940.04374,6.8439412e+18
2179.6842,6.6526553e+18,1009.2225,6.8415649e+18
2245.5263,6.650781e+18,1024,6.841065e+18
2377.2105,6.6471653e+18,1093.1788,6.838865e+18
2443.0526,6.6453893e+18,1127.7682,6.8377973e+18
2459.5131,6.6449472e+18,1196.947,6.8357709e+18
2492.4342,6.6440707e+18,1335.3045,6.8320423e+18
2558.2763,6.642347e+18,1612.0197,6.82542e+18
2689.9605,6.6390084e+18,1830.0098,6.8205862e+18
2953.3289,6.632707e+18,2048,6.816047e+18
3480.0657,6.6213248e+18,2091.0841,6.8151604e+18
4096,6.6093834e+18,2177.2523,6.813427e+18
4582.9388,6.6006853e+18,2349.5886,6.8100996e+18
5556.8164,6.5856797e+18,2392.6727,6.8092762e+18
7504.5715,6.5623732e+18,2435.7568,6.8084609e+18
8192,6.5548728e+18,2457.2988,6.8080552e+18
12087.51,6.5265909e+18,2500.3829,6.8072516e+18
14235.755,6.5142014e+18,2521.925,6.8068517e+18
16384,6.5042454e+18,2524.6177,6.8068017e+18
17233.168,6.5006505e+18,2530.0032,6.8067019e+18
18931.505,6.4945533e+18,2540.7743,6.8065028e+18
22328.178,6.4853646e+18,2562.3163,6.8061064e+18
24026.515,6.4813858e+18,2605.4004,6.8053208e+18
25724.852,6.4779134e+18,2691.5686,6.8037768e+18
29121.525,6.4724046e+18,2777.7367,6.8022587e+18
30944.762,6.469788e+18,2863.9049,6.8007657e+18
31172.667,6.4694661e+18,3036.2413,6.7978734e+18
31628.477,6.4688419e+18,3380.914,6.7924254e+18
32540.095,6.4676654e+18,4070.2594,6.7826872e+18
32768,6.4673757e+18,4096,6.7823251e+18
34591.238,6.4652903e+18,5474.6908,6.7664038e+18
38237.713,6.4617957e+18,5559.6067,6.7654362e+18
41884.188,6.4588018e+18,5729.4385,6.7635511e+18
45530.663,6.456185e+18,6069.1022,6.7599694e+18
52823.613,6.4519155e+18,6748.4295,6.7534683e+18
65536,6.4461159e+18,7427.7568,6.747561e+18
94707.8,6.4366938e+18,7451.6394,6.747354e+18
112889.9,6.4317836e+18,7499.4046,6.746943e+18
117435.43,6.4306094e+18,7594.935,6.7461324e+18
121980.95,6.429483e+18,7785.9958,6.7445555e+18
131072,6.427389e+18,8168.1174,6.7415673e+18
149254.1,6.4236761e+18,8192,6.7413812e+18
185618.3,6.4174842e+18,8383.0608,6.7399322e+18
203800.4,6.414637e+18,8765.1824,6.7371846e+18
212891.45,6.4132694e+18,8789.065,6.7370135e+18
217436.97,6.412599e+18,8836.8302,6.7366736e+18
226528.02,6.4113063e+18,8932.3606,6.736003e+18
244710.12,6.4088834e+18,9123.4214,6.7346973e+18
262144,6.4066884e+18,9505.543,6.732223e+18
298508.2,6.4025394e+18,10269.786,6.7277495e+18
371236.6,6.395396e+18,11798.273,6.7203339e+18
516693.4,6.3837379e+18,13326.759,6.7141615e+18
524288,6.3831361e+18,13708.881,6.7126919e+18
669744.8,6.3732291e+18,13899.941,6.7119747e+18
706109,6.3708414e+18,14282.063,6.7106072e+18
778837.4,6.3663589e+18,15046.306,6.7081148e+18
924294.2,6.3582543e+18,15129.912,6.7078449e+18
1048576,6.3518313e+18,15297.124,6.7073163e+18
1121304.4,6.3482243e+18,15631.547,6.7063018e+18
1266761.2,6.3415058e+18,16300.394,6.704428e+18
1412218,6.3352034e+18,16384,6.7041962e+18
1484946.4,6.3321491e+18,17721.694,6.7010031e+18
1630403.2,6.326372e+18,19059.387,6.6982419e+18
1921316.8,6.3158935e+18,21734.775,6.693977e+18
2097152,6.3099074e+18,27085.55,6.6883773e+18
2169880.4,6.3074892e+18,29926.775,6.686008e+18
2315337.2,6.302861e+18,32768,6.6840805e+18
2606250.8,6.2943273e+18,41752.743,6.6801332e+18
2751707.6,6.2902276e+18,46245.114,6.6785187e+18
2897164.4,6.2862833e+18,50737.485,6.67715e+18
2915346.5,6.2857927e+18,51860.578,6.6768215e+18
2951710.7,6.2848212e+18,52422.125,6.6766605e+18
2969892.8,6.2843378e+18,52702.898,6.6765808e+18
3006257,6.2833803e+18,53264.444,6.6764245e+18
3078985.4,6.2815018e+18,53545.217,6.6763471e+18
3151713.8,6.2796587e+18,54106.764,6.6761951e+18
3297170.6,6.2761062e+18,55229.857,6.6759011e+18
3588084.2,6.2694825e+18,57476.042,6.6753475e+18
3624448.4,6.2686621e+18,59722.228,6.6748226e+18
